step,callsign_a,callsign_b,h_sep_nm,v_sep_ft,alt_a_ft,alt_b_ft,lat_a,lon_a,lat_b,lon_b,duration_steps,resolved_step,severity
0,NKS3010,UAL413,2.2275,30.5,1021.08,1074.42,29.896408081054688,-95.25035564716046,29.900894165039062,-95.25917640099158,12,12,CRITICAL
0,NKS1562,UAL774,2.9565,480.1,1005.84,1028.7,28.350906372070312,-81.35032653808594,28.34351620431673,-81.3614071116728,80,80,CRITICAL
0,AAL1856,SHH3006,2.8644,716.3,1036.3200000000002,1028.7,25.766510009765625,-80.17868041992188,25.76852572166313,-80.18703244767096,416,416,CRITICAL
0,SHH3006,SHH906,2.6915,998.2,1028.7,1021.08,25.76852572166313,-80.18703244767096,25.77328491210937,-80.19098917643225,158,158,CRITICAL
0,ENY3814,UAL1457,1.5129,7.6,1043.94,1013.46,29.91156005859375,-95.27225269990812,29.909533484507413,-95.2704754997702,15,15,CRITICAL
0,UAL2245,UAL759,1.5181,236.2,1059.18,1028.7,29.905483439817267,-95.26552088120404,29.901168823242188,-95.25801438551684,11,11,CRITICAL
0,AAL1856,N453QS,2.9772,76.2,1036.3200000000002,1028.7,25.766510009765625,-80.17868041992188,25.787017822265625,-80.21835327148438,173,173,MODERATE
0,FFT4426,UAL1114,2.9911,480.1,1264.92,1021.08,29.91632080078125,-95.26740579044116,29.90711975097656,-95.26646540715144,32,32,CRITICAL
0,NKS2012,NKS693,2.964,22.9,1021.08,1028.7,26.125348624536542,-80.05605257474457,26.12856072894597,-80.0545208270733,407,407,CRITICAL
0,FFT1418,FFT3470,2.9874,731.5,1013.46,1257.3,29.937837245100635,-95.24602661132808,29.938247680664062,-95.23988611557904,13,13,CRITICAL
0,SWA4490,UAL1457,2.9398,137.2,1120.14,1013.46,29.9381103515625,-95.24979535271144,29.909533484507413,-95.2704754997702,9,9,MODERATE
0,FFT3470,NKS1847,2.9236,251.5,1257.3,1028.7,29.938247680664062,-95.23988611557904,29.891921997070312,-95.24417583759016,4,4,MODERATE
0,UAL1019,UAL1058,2.9854,259.1,1051.56,1013.46,20.996566772460938,-86.81224822998047,21.01181030273437,-86.80185045514787,15,15,HIGH
0,PXG210,UAL496T,2.9984,7.6,1021.08,1021.08,29.993637084960938,-95.42266845703124,29.95468139648437,-95.40699678308825,18,18,MODERATE
0,NKS3010,UAL1848,2.5103,442.0,1021.08,1424.94,29.896408081054688,-95.25035564716046,29.897781372070312,-95.20730825570912,3,3,MODERATE
0,UAL1114,UAL2657,2.9441,525.8,1021.08,1028.7,29.90711975097656,-95.26646540715144,29.9154052734375,-95.27386833639709,16,16,CRITICAL
0,ENY3814,NKS1708,2.1973,68.6,1043.94,1021.08,29.91156005859375,-95.27225269990812,29.9186577231197,-95.27206420898438,15,15,CRITICAL
0,FFT1418,FFT4426,1.6834,861.1,1013.46,1264.92,29.937837245100635,-95.24602661132808,29.91632080078125,-95.26740579044116,35,35,HIGH
0,ENY3954,SHH906,2.9587,22.9,1013.46,1021.08,25.815216064453125,-80.16428629557288,25.77328491210937,-80.19098917643225,2,2,MODERATE
0,AAL1856,TXG403,2.4759,571.5,1036.3200000000002,1013.46,25.766510009765625,-80.17868041992188,25.761310124801376,-80.16671810510024,382,382,CRITICAL
0,ENY3814,SWA4490,2.9233,114.3,1043.94,1120.14,29.91156005859375,-95.27225269990812,29.9381103515625,-95.24979535271144,9,9,HIGH
0,AAL368,UAL2311,2.9751,144.8,1181.1,1036.3200000000002,25.765173960540253,-80.17500967349645,25.804650258209744,-80.20641398879718,3,3,MODERATE
0,AAL1511,N453QS,2.9979,205.7,1013.46,1028.7,25.76527404785156,-80.17466227213538,25.787017822265625,-80.21835327148438,55,55,MODERATE
0,NKS1708,UAL2657,2.9588,647.7,1021.08,1028.7,29.9186577231197,-95.27206420898438,29.9154052734375,-95.27386833639709,8,8,CRITICAL
0,AAL2541,NKS271,2.9997,609.6,1013.46,1028.7,25.78356209447828,-80.39053862949584,25.78463279594809,-80.38178066037733,537,537,CRITICAL
0,NKS1904,UAL2662,2.7675,289.6,1097.28,1173.48,29.9381103515625,-95.24871826171876,29.9146728515625,-95.2752147001379,6,6,HIGH
0,AAL2217,NKS271,2.9852,137.2,1021.08,1028.7,25.76788330078125,-80.40781656901038,25.78463279594809,-80.38178066037733,20,20,HIGH
0,NKS1904,UAL496,2.1865,327.7,1097.28,1021.08,29.9381103515625,-95.24871826171876,29.933074951171875,-95.25658102596508,7,7,CRITICAL
0,NKS687,UAL759,2.678,998.2,1013.46,1028.7,29.90669379800053,-95.26654411764709,29.901168823242188,-95.25801438551684,98,98,CRITICAL
0,AAL1511,AAL1856,1.9284,449.6,1013.46,1036.3200000000002,25.76527404785156,-80.17466227213538,25.766510009765625,-80.17868041992188,212,212,CRITICAL
0,NKS1336,UAL1167,2.8593,617.2,1120.14,1188.72,29.89228820800781,-95.2438589242788,29.89254191770392,-95.24397906135113,45,45,CRITICAL
0,AAL324,UAL1020,2.9879,541.0,1028.7,1043.94,29.94407524496821,-95.40444946289062,29.968963623046875,-95.4184139476103,30,30,HIGH
0,AAL1465,NKS1708,2.6099,53.3,1021.08,1021.08,29.90716552734375,-95.22891117976263,29.9186577231197,-95.27206420898438,248,248,MODERATE
0,UAL2657,UAL413,2.4976,655.3,1028.7,1074.42,29.9154052734375,-95.27386833639709,29.900894165039062,-95.25917640099158,13,13,HIGH
0,NKS797,UAL413,2.9374,320.0,1112.52,1074.42,29.938023454051905,-95.25860595703124,29.900894165039062,-95.25917640099158,21,21,MODERATE
0,NKS3010,UAL496,2.7389,38.1,1021.08,1021.08,29.896408081054688,-95.25035564716046,29.933074951171875,-95.25658102596508,10,10,MODERATE
0,NKS1708,NKS3010,2.1672,15.2,1021.08,1021.08,29.9186577231197,-95.27206420898438,29.896408081054688,-95.25035564716046,10,10,HIGH
0,NKS1708,UAL759,2.9827,426.7,1021.08,1028.7,29.9186577231197,-95.27206420898438,29.901168823242188,-95.25801438551684,69,69,HIGH
0,FFT4426,NKS2801,2.4519,944.9,1264.92,1021.08,29.91632080078125,-95.26740579044116,29.895675659179688,-95.2488767183744,30,30,HIGH
0,ENY3814,NKS1498,0.8038,7.6,1043.94,1021.08,29.91156005859375,-95.27225269990812,29.90272521972656,-95.25827847994287,15,15,CRITICAL
0,FFT4426,UAL759,2.5825,998.2,1264.92,1028.7,29.91632080078125,-95.26740579044116,29.901168823242188,-95.25801438551684,34,34,HIGH
0,NKS1336,SWA4490,2.8667,38.1,1120.14,1120.14,29.89228820800781,-95.2438589242788,29.9381103515625,-95.24979535271144,2,2,MODERATE
0,NKS257,UAL2162,2.9883,320.0,1021.08,1036.3200000000002,26.06414794921875,-80.2651804798054,26.07195320775953,-80.23827772874097,206,206,HIGH
0,NKS1498,UAL1167,2.9897,541.0,1021.08,1188.72,29.90272521972656,-95.25827847994287,29.89254191770392,-95.24397906135113,29,29,CRITICAL
0,NKS272,NKS3010,2.0424,7.6,1074.42,1021.08,29.897003173828125,-95.2521514892578,29.896408081054688,-95.25035564716046,12,12,CRITICAL
0,ENY3689,UAL1795,2.9789,198.1,1013.46,1028.7,25.83526611328125,-80.15562813237028,25.81074860136388,-80.18143563900355,193,193,MODERATE
0,ENY3689,ENY4071,2.9972,167.6,1013.46,1028.7,25.83526611328125,-80.15562813237028,25.83858683957892,-80.158943763146,204,204,CRITICAL
0,NKS1904,UAL1114,2.5182,53.3,1097.28,1021.08,29.9381103515625,-95.24871826171876,29.90711975097656,-95.26646540715144,6,6,MODERATE
0,NAC802,UAL2311,2.9334,83.8,1013.46,1036.3200000000002,25.772063691737287,-80.1933547685731,25.804650258209744,-80.20641398879718,22,22,MODERATE
0,NAC810,UAL2311,2.9577,137.2,1021.08,1036.3200000000002,25.777463751324152,-80.21455009028597,25.804650258209744,-80.20641398879718,33,33,HIGH
0,UAL1114,UAL759,2.8995,769.6,1021.08,1028.7,29.90711975097656,-95.26646540715144,29.901168823242188,-95.25801438551684,52,52,CRITICAL
0,FFT4426,NKS1155,0.1241,891.5,1264.92,1036.3200000000002,29.91632080078125,-95.26740579044116,29.90343514135328,-95.28399299172791,35,35,HIGH
0,UAL1167,UAL1848,2.2077,281.9,1188.72,1424.94,29.89254191770392,-95.24397906135113,29.897781372070312,-95.20730825570912,3,3,HIGH
0,UAL1457,UAL723,2.3863,30.5,1013.46,1127.76,29.909533484507413,-95.2704754997702,29.92140430515095,-95.32342529296876,25,25,MODERATE
0,NKS1171,NKS956,2.9384,388.6,1021.08,1021.08,26.063666909427965,-80.27514531062201,26.064132431806144,-80.26759221003607,226,226,CRITICAL
0,UAL1114,UAL2662,2.6593,563.9,1021.08,1173.48,29.90711975097656,-95.26646540715144,29.9146728515625,-95.2752147001379,56,56,CRITICAL
0,UAL1927,UAL2311,2.9977,228.6,1036.3200000000002,1036.3200000000002,25.81187438964844,-80.17740885416663,25.804650258209744,-80.20641398879718,197,197,HIGH
0,NKS210,NKS257,0.3491,998.2,1013.46,1021.08,26.074859619140625,-80.24180862138854,26.06414794921875,-80.2651804798054,94,94,HIGH
0,AAL2230,ENY4071,2.9588,289.6,1013.46,1028.7,25.82066345214844,-80.1644388834635,25.83858683957892,-80.158943763146,99,99,HIGH
0,NKS1847,UAL759,2.9592,487.7,1028.7,1028.7,29.891921997070312,-95.24417583759016,29.901168823242188,-95.25801438551684,30,30,CRITICAL
0,AAL165,AAL2541,2.9916,190.5,1120.14,1013.46,25.777130126953125,-80.39769490559894,25.78356209447828,-80.39053862949584,42,42,CRITICAL
0,AAL1856,AJT8541,2.9209,129.5,1036.3200000000002,1013.46,25.766510009765625,-80.17868041992188,25.78924146749205,-80.22221979105245,13,13,MODERATE
0,NKS3010,UAL2662,1.7195,426.7,1021.08,1173.48,29.896408081054688,-95.25035564716046,29.9146728515625,-95.2752147001379,12,12,HIGH
0,NKS1847,SWA4490,2.8522,91.4,1028.7,1120.14,29.891921997070312,-95.24417583759016,29.9381103515625,-95.24979535271144,4,4,MODERATE
0,AAL2171,AAL2217,2.5765,213.4,1051.56,1021.08,25.763671875,-80.41275024414062,25.76788330078125,-80.40781656901038,74,74,CRITICAL
0,NKS1498,UAL496,2.9775,213.4,1021.08,1021.08,29.90272521972656,-95.25827847994287,29.933074951171875,-95.25658102596508,30,30,HIGH
0,AAL2171,AAL714,2.9865,342.9,1051.56,1021.08,25.763671875,-80.41275024414062,25.778961181640625,-80.39108276367188,44,44,HIGH
0,NKS1336,UAL1848,1.9811,236.2,1120.14,1424.94,29.89228820800781,-95.2438589242788,29.897781372070312,-95.20730825570912,3,3,HIGH
0,FFT3470,NKS797,2.872,487.7,1257.3,1112.52,29.938247680664062,-95.23988611557904,29.938023454051905,-95.25860595703124,10,10,CRITICAL
0,FFT3470,NKS1708,2.2589,281.9,1257.3,1021.08,29.938247680664062,-95.23988611557904,29.9186577231197,-95.27206420898438,7,7,MODERATE
0,N453QS,SHH3006,2.9662,655.3,1028.7,1028.7,25.787017822265625,-80.21835327148438,25.76852572166313,-80.18703244767096,274,274,MODERATE
0,NKS1708,SWA4490,2.9791,198.1,1021.08,1120.14,29.9186577231197,-95.27206420898438,29.9381103515625,-95.24979535271144,10,10,HIGH
0,AAL217R,AAL9601,2.9437,289.6,1028.7,1013.46,12.517181396484377,-69.9153347673087,12.504364013671877,-69.91126224912449,373,373,CRITICAL
0,NKS352,UAL2261,2.3823,297.2,1021.08,1181.1,26.114089965820312,-80.05877224904185,26.13223835573358,-80.05520747258113,3,3,HIGH
0,NAC802,NAC810,2.989,15.2,1013.46,1021.08,25.772063691737287,-80.1933547685731,25.777463751324152,-80.21455009028597,178,178,HIGH
0,NKS939,UAL2215,2.97,30.5,1021.08,1013.46,25.829177856445312,-80.15975952148438,25.8046875,-80.20090738932288,37,37,MODERATE
0,NKS1846,NKS939,2.9474,350.5,1021.08,1021.08,25.817917645987816,-80.1663035266804,25.829177856445312,-80.15975952148438,89,89,CRITICAL
0,NKS1336,UAL1114,2.6669,304.8,1120.14,1021.08,29.89228820800781,-95.2438589242788,29.90711975097656,-95.26646540715144,48,48,HIGH
