step,callsign_a,callsign_b,h_sep_nm,v_sep_ft,alt_a_ft,alt_b_ft,lat_a,lon_a,lat_b,lon_b,duration_steps,resolved_step,severity
0,ENY3814,NKS1155,1.8896,15.2,1043.94,1036.3200000000002,29.91156005859375,-95.27225269990812,29.90343514135328,-95.28399299172791,15,15,CRITICAL
0,AAL1465,SWA4490,2.3348,175.3,1021.08,1120.14,29.90716552734375,-95.22891117976263,29.9381103515625,-95.24979535271144,10,10,MODERATE
0,AAL2733,NKS271,2.9443,106.7,1036.3200000000002,1028.7,25.7833293332892,-80.41282221956072,25.78463279594809,-80.38178066037733,344,344,HIGH
0,AAL714,NKS271,2.9362,30.5,1021.08,1028.7,25.778961181640625,-80.39108276367188,25.78463279594809,-80.38178066037733,53,53,CRITICAL
0,FFT3378,NKS271,2.9595,137.2,1028.7,1028.7,25.779744810977224,-80.39623908276826,25.78463279594809,-80.38178066037733,52,52,CRITICAL
0,UAL1167,UAL2245,2.456,228.6,1188.72,1059.18,29.89254191770392,-95.24397906135113,29.905483439817267,-95.26552088120404,13,13,HIGH
0,NKS2801,NKS797,2.9932,304.8,1021.08,1112.52,29.895675659179688,-95.2488767183744,29.938023454051905,-95.25860595703124,20,20,MODERATE
0,NAC810,UAL1927,2.9474,7.6,1021.08,1036.3200000000002,25.777463751324152,-80.21455009028597,25.81187438964844,-80.17740885416663,3,3,MODERATE
0,AAL1465,UAL2245,2.538,685.8,1021.08,1059.18,29.90716552734375,-95.22891117976263,29.905483439817267,-95.26552088120404,13,13,HIGH
0,AAL1613,SHH3006,2.9544,304.8,1036.3200000000002,1028.7,25.764816284179688,-80.17410278320312,25.76852572166313,-80.18703244767096,274,274,CRITICAL
0,NKS3010,UAL413,2.2275,30.5,1021.08,1074.42,29.896408081054688,-95.25035564716046,29.900894165039062,-95.25917640099158,12,12,CRITICAL
0,FFT3470,UAL413,2.8479,221.0,1257.3,1074.42,29.938247680664062,-95.23988611557904,29.900894165039062,-95.25917640099158,7,7,MODERATE
0,UAL1457,UAL2657,2.9167,632.5,1013.46,1028.7,29.909533484507413,-95.2704754997702,29.9154052734375,-95.27386833639709,8,8,CRITICAL
0,AAL1856,SHH3006,2.8644,716.3,1036.3200000000002,1028.7,25.766510009765625,-80.17868041992188,25.76852572166313,-80.18703244767096,416,416,CRITICAL
0,NKS3010,SWA4490,2.9708,167.6,1021.08,1120.14,29.896408081054688,-95.25035564716046,29.9381103515625,-95.24979535271144,7,7,MODERATE
0,ENY3814,UAL1457,1.5129,7.6,1043.94,1013.46,29.91156005859375,-95.27225269990812,29.909533484507413,-95.2704754997702,15,15,CRITICAL
0,AAL1856,N453QS,2.9772,76.2,1036.3200000000002,1028.7,25.766510009765625,-80.17868041992188,25.787017822265625,-80.21835327148438,173,173,MODERATE
0,FFT1418,FFT3470,2.9874,731.5,1013.46,1257.3,29.937837245100635,-95.24602661132808,29.938247680664062,-95.23988611557904,13,13,CRITICAL
